Aggravated Assault,Bachelor's Degree,Police Expenditure Per Capita,Population in Millions,Population Density (Persons/Sq Mile),Unemployment Rate
521,18308,185,4.041,79.6,7.2
367,1148,600,0.55,1,8.5
443,18068,372,3.665,32.3,5.7
365,7729,142,2.351,45.1,7.3
614,100484,432,29.76,190.8,7.5
385,16728,290,3.294,31.8,5
286,14630,346,3.287,678.4,6.7
397,4008,328,0.666,340.8,6.2
764,38927,354,12.938,239.6,7.3
427,22322,266,6.478,111.9,5
153,3711,320,1.108,172.5,2.8
231,3136,197,1.007,12.2,6.1
524,50508,266,11.431,205.6,7.1
328,28886,173,5.544,154.6,5.9
240,16996,190,2.777,49.7,4.6
286,13035,239,2.478,30.3,4.4
285,12973,190,3.685,92.8,7.4
569,16309,241,4.22,96.9,7.1
96,5227,189,1.228,39.8,7.5
498,19235,358,4.781,489.2,5.9
481,44487,315,6.016,767.6,9
468,44213,303,9.295,163.6,9.2
177,23619,228,4.375,55,5.1
198,9106,134,2.573,54.9,8.6
458,24917,189,5.117,74.3,6.6
108,3872,196,0.799,5.5,6.9
246,8945,183,1.578,20.5,2.7
291,2373,417,1.202,10.9,5.5
68,7128,233,1.109,123.7,7.2
311,23624,349,7.73,1042,6.6
606,5242,284,1.515,12.5,6.9
512,92629,499,17.99,381,7.2
426,28795,231,6.629,136.1,5.8
47,4487,143,0.639,9.3,4.1
265,48799,249,10.847,264.9,6.4
370,14067,195,3.146,45.8,6.7
312,12693,288,2.842,29.6,6
222,62184,229,11.882,265.1,6.9
280,9153,287,1.003,960.3,8.5
759,14250,224,3.487,115.8,6.2
114,3680,161,0.696,9.2,3.4
419,18063,221,4.877,118.3,6.6
435,65112,237,16.987,64.9,6.6
186,11340,220,1.723,21,4.9
87,4553,185,0.563,60.8,6.4
188,28960,260,6.187,156.3,5.8
303,19201,261,4.867,73.1,6.3
102,7533,118,1.793,74.5,10.5
127,26343,268,4.892,90.1,5.4
251,1641,300,0.454,4.7,5.1
